hostname;ipl0;prefix_17;prefix_24;prefix_25;prefix_26;prefix_27;prefix_28;vrf_bbde_sem_ger;erro_vrf;
<a href="http://10.98.22.18/fping/10.240.0.101-rcfoz01.foz.unib.txt">rcfoz01.foz.unib</a>;10.240.0.101;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.241.128.101-rclda01.lda.unib.txt">rclda01.lda.unib</a>;10.241.128.101;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.242.0.101-rcbnu01.bnu.unib.txt">rcbnu01.bnu.unib</a>;10.242.0.101;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.242.128.101-rcjve01.jve.unib.txt">rcjve01.jve.unib</a>;10.242.128.101;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.243.0.101-rccsl01.csl.unib.txt">rccsl01.csl.unib</a>;10.243.0.101;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.247.0.102-rcpcs02.pcs.unib.txt">rcpcs02.pcs.unib</a>;10.247.0.102;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.248.192.28-rccens04.cens.unib.txt">rccens04.cens.unib</a>;10.248.192.28;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.249.0.101-rcjfa01.jfa.unib.txt">rcjfa01.jfa.unib</a>;10.249.0.101;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.249.128.101-rcmcl01.mcl.unib.txt">rcmcl01.mcl.unib</a>;10.249.128.101;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.251.0.103-rcfns03.fns.unib.txt">rcfns03.fns.unib</a>;10.251.0.103;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.252.0.103-rcsrr03.srr.unib.txt">rcsrr03.srr.unib</a>;10.252.0.103;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.32.101.1-mepca01.pca.psys.txt">mepca01.pca.psys</a>;10.32.101.1;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.32.11.1-mcsdr01.sdr.psys.txt">mcsdr01.sdr.psys</a>;10.32.11.1;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.11.2-mcsdr02.sdr.psys.txt">mcsdr02.sdr.psys</a>;10.32.11.2;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.11.3-mcsdr03.sdr.psys.txt">mcsdr03.sdr.psys</a>;10.32.11.3;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.11.4-mcsdr04.sdr.psys.txt">mcsdr04.sdr.psys</a>;10.32.11.4;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.11.5-mcsdr05.sdr.psys.txt">mcsdr05.sdr.psys</a>;10.32.11.5;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.12.1-mcrce01.rce.psys.txt">mcrce01.rce.psys</a>;10.32.12.1;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.12.2-mcrce02.rce.psys.txt">mcrce02.rce.psys</a>;10.32.12.2;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.12.3-mcrce03.rce.psys.txt">mcrce03.rce.psys</a>;10.32.12.3;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.1.2-mcliv01.liv.psys.txt">mcliv01.liv.psys</a>;10.32.1.2;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.13.1-mcbsa01.bsa.psys.txt">mcbsa01.bsa.psys</a>;10.32.13.1;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.13.2-mcbsa02.bsa.psys.txt">mcbsa02.bsa.psys</a>;10.32.13.2;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.13.4-mcbsa03.bsa.psys.txt">mcbsa03.bsa.psys</a>;10.32.13.4;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.14.1-mcbhe01.bhe.psys.txt">mcbhe01.bhe.psys</a>;10.32.14.1;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.14.2-mcbhe02.bhe.psys.txt">mcbhe02.bhe.psys</a>;10.32.14.2;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.14.3-mcbhe03.bhe.psys.txt">mcbhe03.bhe.psys</a>;10.32.14.3;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.14.4-mcbhe04.bhe.psys.txt">mcbhe04.bhe.psys</a>;10.32.14.4;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.14.5-mcbhe05.bhe.psys.txt">mcbhe05.bhe.psys</a>;10.32.14.5;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.15.1-mccta01.cta.psys.txt">mccta01.cta.psys</a>;10.32.15.1;n;y;y;n;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.15.2-mccta02.cta.psys.txt">mccta02.cta.psys</a>;10.32.15.2;n;y;y;n;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.15.4-mccta04.cta.psys.txt">mccta04.cta.psys</a>;10.32.15.4;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.15.5-mccta03.cta.psys.txt">mccta03.cta.psys</a>;10.32.15.5;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.15.6-mccta05.cta.psys.txt">mccta05.cta.psys</a>;10.32.15.6;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.16.1-mcpae01.pae.psys.txt">mcpae01.pae.psys</a>;10.32.16.1;n;y;y;n;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.16.2-mcpae02.pae.psys.txt">mcpae02.pae.psys</a>;10.32.16.2;n;y;y;n;n;y;--;;;erro:bbde_ags_2:erro:bbde_ags_2:;
<a href="http://10.98.22.18/fping/10.32.16.4-mcpae03.pae.psys.txt">mcpae03.pae.psys</a>;10.32.16.4;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.16.5-mcpae04.pae.psys.txt">mcpae04.pae.psys</a>;10.32.16.5;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.16.6-mcpae05.pae.psys.txt">mcpae05.pae.psys</a>;10.32.16.6;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.17.1-mcigs01.igs.psys.txt">mcigs01.igs.psys</a>;10.32.17.1;n;y;y;n;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.17.2-mcigs02.igs.psys.txt">mcigs02.igs.psys</a>;10.32.17.2;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.17.3-mbigs01.igs.psys.txt">mbigs01.igs.psys</a>;10.32.17.3;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.32.17.4-mcigs03.igs.psys.txt">mcigs03.igs.psys</a>;10.32.17.4;n;y;y;n;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.17.5-mcigs04.igs.psys.txt">mcigs04.igs.psys</a>;10.32.17.5;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.17.6-mbigs02.igs.psys.txt">mbigs02.igs.psys</a>;10.32.17.6;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.32.19.1-mligs01.igs.psys.txt">mligs01.igs.psys</a>;10.32.19.1;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.32.21.2-mcoco01.oco.psys.txt">mcoco01.oco.psys</a>;10.32.21.2;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.2.2-mccens01.cens.psys.txt">mccens01.cens.psys</a>;10.32.2.2;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.23.1-mcpoc01.poc.psys.txt">mcpoc01.poc.psys</a>;10.32.23.1;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.23.2-mcpoc02.poc.psys.txt">mcpoc02.poc.psys</a>;10.32.23.2;n;y;y;n;n;y;--;;;erro:bbde_ags_1:erro:bbde_ags_1:;
<a href="http://10.98.22.18/fping/10.32.23.3-mcpoc03.poc.psys.txt">mcpoc03.poc.psys</a>;10.32.23.3;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.23.4-mbpoc01.poc.psys.txt">mbpoc01.poc.psys</a>;10.32.23.4;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.32.23.5-mcpoc04.poc.psys.txt">mcpoc04.poc.psys</a>;10.32.23.5;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.2.3-mccens02.cens.psys.txt">mccens02.cens.psys</a>;10.32.2.3;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.24.1-mcmbi01.mbi.psys.txt">mcmbi01.mbi.psys</a>;10.32.24.1;n;y;y;n;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.24.2-mcmbi02.mbi.psys.txt">mcmbi02.mbi.psys</a>;10.32.24.2;n;y;y;n;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.24.3-mbmbi01.mbi.psys.txt">mbmbi01.mbi.psys</a>;10.32.24.3;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.32.24.4-mcmbi03.mbi.psys.txt">mcmbi03.mbi.psys</a>;10.32.24.4;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.24.5-mcmbi04.mbi.psys.txt">mcmbi04.mbi.psys</a>;10.32.24.5;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.24.6-mcmbi05.mbi.psys.txt">mcmbi05.mbi.psys</a>;10.32.24.6;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.24.7-mbmbi02.mbi.psys.txt">mbmbi02.mbi.psys</a>;10.32.24.7;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.32.25.10-mbmke01.mke.psys.txt">mbmke01.mke.psys</a>;10.32.25.10;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.32.25.1-mcmke01.mke.psys.txt">mcmke01.mke.psys</a>;10.32.25.1;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.25.2-mcmke02.mke.psys.txt">mcmke02.mke.psys</a>;10.32.25.2;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.25.3-mcmke03.mke.psys.txt">mcmke03.mke.psys</a>;10.32.25.3;n;y;y;n;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.25.4-mcmke04.mke.psys.txt">mcmke04.mke.psys</a>;10.32.25.4;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.25.5-mcmke05.mke.psys.txt">mcmke05.mke.psys</a>;10.32.25.5;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.25.9-mrmke01.mke.psys.txt">mrmke01.mke.psys</a>;10.32.25.9;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.32.26.1-mccdl01.cdl.psys.txt">mccdl01.cdl.psys</a>;10.32.26.1;n;y;y;n;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.26.2-mccdl02.cdl.psys.txt">mccdl02.cdl.psys</a>;10.32.26.2;n;y;y;n;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.26.3-mccdl03.cdl.psys.txt">mccdl03.cdl.psys</a>;10.32.26.3;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.27.1-mcfla01.fla.psys.txt">mcfla01.fla.psys</a>;10.32.27.1;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.27.2-mcfla02.fla.psys.txt">mcfla02.fla.psys</a>;10.32.27.2;n;y;y;n;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.28.3-mccas03.cas.psys.txt">mccas03.cas.psys</a>;10.32.28.3;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.28.4-mccas04.cas.psys.txt">mccas04.cas.psys</a>;10.32.28.4;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.28.7-mccas05.cas.psys.txt">mccas05.cas.psys</a>;10.32.28.7;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.29.1-mbenc01.enc.psys.txt">mbenc01.enc.psys</a>;10.32.29.1;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.32.29.2-mcenc01.enc.psys.txt">mcenc01.enc.psys</a>;10.32.29.2;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.29.3-mcenc02.enc.psys.txt">mcenc02.enc.psys</a>;10.32.29.3;n;y;y;y;n;y;--;;;erro:bbde_ags_2:erro:bbde_ags_2:;
<a href="http://10.98.22.18/fping/10.32.31.1-mcpjk01.pjk.psys.txt">mcpjk01.pjk.psys</a>;10.32.31.1;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.31.2-mcpjk02.pjk.psys.txt">mcpjk02.pjk.psys</a>;10.32.31.2;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.31.4-mcpjk04.pjk.psys.txt">mcpjk04.pjk.psys</a>;10.32.31.4;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.3.1-mbscec01.scec.psys.txt">mbscec01.scec.psys</a>;10.32.3.1;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.32.32.1-mvoco01.oco.psys.txt">mvoco01.oco.psys</a>;10.32.32.1;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.32.3.2-mcscec01.scec.psys.txt">mcscec01.scec.psys</a>;10.32.3.2;n;y;y;n;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.35.2-mcsrr02.srr.psys.txt">mcsrr02.srr.psys</a>;10.32.35.2;n;y;y;n;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.35.3-mcsrr01.srr.psys.txt">mcsrr01.srr.psys</a>;10.32.35.3;n;y;y;n;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.35.4-mcsrr03.srr.psys.txt">mcsrr03.srr.psys</a>;10.32.35.4;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.35.5-mcsrr04.srr.psys.txt">mcsrr04.srr.psys</a>;10.32.35.5;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.36.1-mcrpo03.rpo.psys.txt">mcrpo03.rpo.psys</a>;10.32.36.1;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.36.2-mcrpo02.rpo.psys.txt">mcrpo02.rpo.psys</a>;10.32.36.2;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.36.3-mcrpo01.rpo.psys.txt">mcrpo01.rpo.psys</a>;10.32.36.3;n;y;y;n;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.36.4-mcrpo04.rpo.psys.txt">mcrpo04.rpo.psys</a>;10.32.36.4;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.36.5-mcrpo05.rpo.psys.txt">mcrpo05.rpo.psys</a>;10.32.36.5;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.36.6-mcrpo06.rpo.psys.txt">mcrpo06.rpo.psys</a>;10.32.36.6;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.36.7-mcrpo07.rpo.psys.txt">mcrpo07.rpo.psys</a>;10.32.36.7;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.32.37.1-mcbru03.bru.psys.txt">mcbru03.bru.psys</a>;10.32.37.1;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.37.2-mcbru02.bru.psys.txt">mcbru02.bru.psys</a>;10.32.37.2;n;y;y;n;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.37.3-mcbru01.bru.psys.txt">mcbru01.bru.psys</a>;10.32.37.3;n;y;y;n;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.37.4-mcbru04.bru.psys.txt">mcbru04.bru.psys</a>;10.32.37.4;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.39.3-mcsoc02.soc.psys.txt">mcsoc02.soc.psys</a>;10.32.39.3;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.39.4-mcsoc01.soc.psys.txt">mcsoc01.soc.psys</a>;10.32.39.4;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.39.5-mcsoc03.soc.psys.txt">mcsoc03.soc.psys</a>;10.32.39.5;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.40.6-mcsts04.sts.psys.txt">mcsts04.sts.psys</a>;10.32.40.6;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.40.7-mcsts05.sts.psys.txt">mcsts05.sts.psys</a>;10.32.40.7;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.41.2-mctte02.tte.psys.txt">mctte02.tte.psys</a>;10.32.41.2;n;n;n;y;n;n;--;;
<a href="http://10.98.22.18/fping/10.32.41.3-mctte01.tte.psys.txt">mctte01.tte.psys</a>;10.32.41.3;n;y;y;n;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.41.4-mctte03.tte.psys.txt">mctte03.tte.psys</a>;10.32.41.4;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.4.1-mbpat01.pat.psys.txt">mbpat01.pat.psys</a>;10.32.4.1;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.32.42.2-mcjai02.jai.psys.txt">mcjai02.jai.psys</a>;10.32.42.2;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.42.3-mcjai01.jai.psys.txt">mcjai01.jai.psys</a>;10.32.42.3;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.4.2-mcpat01.pat.psys.txt">mcpat01.pat.psys</a>;10.32.4.2;n;y;y;n;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.43.2-mcsjc02.sjc.psys.txt">mcsjc02.sjc.psys</a>;10.32.43.2;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.32.43.3-mcsjc01.sjc.psys.txt">mcsjc01.sjc.psys</a>;10.32.43.3;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.43.4-mcsjc03.sjc.psys.txt">mcsjc03.sjc.psys</a>;10.32.43.4;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.4.3-mcpat02.pat.psys.txt">mcpat02.pat.psys</a>;10.32.4.3;n;y;y;n;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.49.2-mcpts02.pts.psys.txt">mcpts02.pts.psys</a>;10.32.49.2;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.49.3-mcpts01.pts.psys.txt">mcpts01.pts.psys</a>;10.32.49.3;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.4.9-mrpat01.pat.psys.txt">mrpat01.pat.psys</a>;10.32.4.9;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.32.50.2-mccps02.cps.psys.txt">mccps02.cps.psys</a>;10.32.50.2;n;y;y;y;y;y;--;;
<a href="http://10.98.22.18/fping/10.32.50.3-mccps01.cps.psys.txt">mccps01.cps.psys</a>;10.32.50.3;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.52.2-mccbf02.cbf.psys.txt">mccbf02.cbf.psys</a>;10.32.52.2;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.52.3-mccbf01.cbf.psys.txt">mccbf01.cbf.psys</a>;10.32.52.3;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.53.2-mcvta02.vta.psys.txt">mcvta02.vta.psys</a>;10.32.53.2;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.53.3-mcvta01.vta.psys.txt">mcvta01.vta.psys</a>;10.32.53.3;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.53.4-mcvta03.vta.psys.txt">mcvta03.vta.psys</a>;10.32.53.4;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.53.5-mcvta04.vta.psys.txt">mcvta04.vta.psys</a>;10.32.53.5;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.54.2-mcjfa02.jfa.psys.txt">mcjfa02.jfa.psys</a>;10.32.54.2;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.54.3-mcjfa01.jfa.psys.txt">mcjfa01.jfa.psys</a>;10.32.54.3;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.55.2-mcdvl02.dvl.psys.txt">mcdvl02.dvl.psys</a>;10.32.55.2;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.55.3-mcdvl01.dvl.psys.txt">mcdvl01.dvl.psys</a>;10.32.55.3;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.56.2-mcfns02.fns.psys.txt">mcfns02.fns.psys</a>;10.32.56.2;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.56.3-mcfns01.fns.psys.txt">mcfns01.fns.psys</a>;10.32.56.3;n;y;y;y;n;y;--;;
