hostname;ipl0;prefix_17;prefix_24;prefix_25;prefix_26;prefix_27;prefix_28;vrf_bbde_sem_ger;erro_vrf;
<a href="http://10.98.22.18/fping/10.32.56.4-mcfns03.fns.psys.txt">mcfns03.fns.psys</a>;10.32.56.4;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.56.5-mcfns04.fns.psys.txt">mcfns04.fns.psys</a>;10.32.56.5;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.57.2-mcjve02.jve.psys.txt">mcjve02.jve.psys</a>;10.32.57.2;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.57.3-mcjve01.jve.psys.txt">mcjve01.jve.psys</a>;10.32.57.3;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.57.4-mcjve03.jve.psys.txt">mcjve03.jve.psys</a>;10.32.57.4;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.58.1-mabnu01.bnu.psys.txt">mabnu01.bnu.psys</a>;10.32.58.1;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.32.58.3-mcbnu01.bnu.psys.txt">mcbnu01.bnu.psys</a>;10.32.58.3;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.58.4-mcbnu02.bnu.psys.txt">mcbnu02.bnu.psys</a>;10.32.58.4;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.58.5-mcbnu03.bnu.psys.txt">mcbnu03.bnu.psys</a>;10.32.58.5;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.58.6-mcbnu04.bnu.psys.txt">mcbnu04.bnu.psys</a>;10.32.58.6;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.59.2-mccsc02.csc.psys.txt">mccsc02.csc.psys</a>;10.32.59.2;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.59.3-mccsc01.csc.psys.txt">mccsc01.csc.psys</a>;10.32.59.3;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.59.4-mccsc03.csc.psys.txt">mccsc03.csc.psys</a>;10.32.59.4;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.60.2-mcmga02.mga.psys.txt">mcmga02.mga.psys</a>;10.32.60.2;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.60.3-mcmga01.mga.psys.txt">mcmga01.mga.psys</a>;10.32.60.3;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.60.4-mcmga03.mga.psys.txt">mcmga03.mga.psys</a>;10.32.60.4;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.61.3-mcpga01.pga.psys.txt">mcpga01.pga.psys</a>;10.32.61.3;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.61.4-mcpga02.pga.psys.txt">mcpga02.pga.psys</a>;10.32.61.4;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.62.2-mclda02.lda.psys.txt">mclda02.lda.psys</a>;10.32.62.2;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.62.3-mclda01.lda.psys.txt">mclda01.lda.psys</a>;10.32.62.3;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.62.4-mclda03.lda.psys.txt">mclda03.lda.psys</a>;10.32.62.4;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.63.2-mccsl02.csl.psys.txt">mccsl02.csl.psys</a>;10.32.63.2;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.63.3-mccsl01.csl.psys.txt">mccsl01.csl.psys</a>;10.32.63.3;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.63.4-mccsl03.csl.psys.txt">mccsl03.csl.psys</a>;10.32.63.4;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.64.2-mcplt02.plt.psys.txt">mcplt02.plt.psys</a>;10.32.64.2;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.64.3-mcplt01.plt.psys.txt">mcplt01.plt.psys</a>;10.32.64.3;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.65.2-mcula02.ula.psys.txt">mcula02.ula.psys</a>;10.32.65.2;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.65.3-mcula01.ula.psys.txt">mcula01.ula.psys</a>;10.32.65.3;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.65.4-mcula03.ula.psys.txt">mcula03.ula.psys</a>;10.32.65.4;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.65.5-mcula04.ula.psys.txt">mcula04.ula.psys</a>;10.32.65.5;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.67.5-mcjpa04.jpa.psys.txt">mcjpa04.jpa.psys</a>;10.32.67.5;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.67.6-mcjpa05.jpa.psys.txt">mcjpa05.jpa.psys</a>;10.32.67.6;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.68.1-mcgna01.gna.psys.txt">mcgna01.gna.psys</a>;10.32.68.1;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.68.2-mcgna02.gna.psys.txt">mcgna02.gna.psys</a>;10.32.68.2;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.68.3-mcgna03.gna.psys.txt">mcgna03.gna.psys</a>;10.32.68.3;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.68.4-mcgna04.gna.psys.txt">mcgna04.gna.psys</a>;10.32.68.4;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.69.2-mccpe02.cpe.psys.txt">mccpe02.cpe.psys</a>;10.32.69.2;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.69.3-mccpe01.cpe.psys.txt">mccpe01.cpe.psys</a>;10.32.69.3;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.69.4-mccpe03.cpe.psys.txt">mccpe03.cpe.psys</a>;10.32.69.4;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.70.4-mcmns04.mns.psys.txt">mcmns04.mns.psys</a>;10.32.70.4;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.70.5-mcmns05.mns.psys.txt">mcmns05.mns.psys</a>;10.32.70.5;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.71.2-mcpvo02.pvo.psys.txt">mcpvo02.pvo.psys</a>;10.32.71.2;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.71.3-mcpvo01.pvo.psys.txt">mcpvo01.pvo.psys</a>;10.32.71.3;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.73.1-mcfoz01.foz.psys.txt">mcfoz01.foz.psys</a>;10.32.73.1;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.73.2-mcfoz02.foz.psys.txt">mcfoz02.foz.psys</a>;10.32.73.2;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.76.1-mcblm01.blm.psys.txt">mcblm01.blm.psys</a>;10.32.76.1;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.76.2-mcblm02.blm.psys.txt">mcblm02.blm.psys</a>;10.32.76.2;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.76.3-mcblm03.blm.psys.txt">mcblm03.blm.psys</a>;10.32.76.3;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.76.4-mcblm04.blm.psys.txt">mcblm04.blm.psys</a>;10.32.76.4;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.76.5-mcblm05.blm.psys.txt">mcblm05.blm.psys</a>;10.32.76.5;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.76.6-mcblm06.blm.psys.txt">mcblm06.blm.psys</a>;10.32.76.6;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.77.1-mccba01.cba.psys.txt">mccba01.cba.psys</a>;10.32.77.1;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.77.2-mccba02.cba.psys.txt">mccba02.cba.psys</a>;10.32.77.2;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.81.1-mcroi01.roi.psys.txt">mcroi01.roi.psys</a>;10.32.81.1;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.81.2-mcroi02.roi.psys.txt">mcroi02.roi.psys</a>;10.32.81.2;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.85.1-mcnct01.nct.psys.txt">mcnct01.nct.psys</a>;10.32.85.1;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.85.2-mcnct02.nct.psys.txt">mcnct02.nct.psys</a>;10.32.85.2;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.85.3-mcnct03.nct.psys.txt">mcnct03.nct.psys</a>;10.32.85.3;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.85.4-mcnct04.nct.psys.txt">mcnct04.nct.psys</a>;10.32.85.4;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.85.5-mbnct01.nct.psys.txt">mbnct01.nct.psys</a>;10.32.85.5;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.32.85.6-mcnct05.nct.psys.txt">mcnct05.nct.psys</a>;10.32.85.6;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.85.9-mrnct01.nct.psys.txt">mrnct01.nct.psys</a>;10.32.85.9;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.32.91.1-mcpcs01.pcs.psys.txt">mcpcs01.pcs.psys</a>;10.32.91.1;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.91.2-mcpcs02.pcs.psys.txt">mcpcs02.pcs.psys</a>;10.32.91.2;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.92.2-mcpaa02.paa.psys.txt">mcpaa02.paa.psys</a>;10.32.92.2;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.92.3-mcpaa01.paa.psys.txt">mcpaa01.paa.psys</a>;10.32.92.3;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.92.4-mcpaa03.paa.psys.txt">mcpaa03.paa.psys</a>;10.32.92.4;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.95.1-mcrsd01.rsd.psys.txt">mcrsd01.rsd.psys</a>;10.32.95.1;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.95.2-mcrsd02.rsd.psys.txt">mcrsd02.rsd.psys</a>;10.32.95.2;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.96.1-mcmcl01.mcl.psys.txt">mcmcl01.mcl.psys</a>;10.32.96.1;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.32.96.2-mcmcl02.mcl.psys.txt">mcmcl02.mcl.psys</a>;10.32.96.2;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.33.101.2-swcpca01.pca.psys.txt">swcpca01.pca.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.12.62-swcrce02.rce.psys.txt">swcrce02.rce.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.13.30-swcbsa01.bsa.psys.txt">swcbsa01.bsa.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.13.62-swcbsa02.bsa.psys.txt">swcbsa02.bsa.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.14.30-swcbhe01.bhe.psys.txt">swcbhe01.bhe.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.14.62-swcbhe02.bhe.psys.txt">swcbhe02.bhe.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.15.126-swccta03.cta.psys.txt">swccta03.cta.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.15.30-swccta01.cta.psys.txt">swccta01.cta.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.15.94-swccta04.cta.psys.txt">swccta04.cta.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.16.62-swcpae02.pae.psys.txt">swcpae02.pae.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.17.30-swcigs01.igs.psys.txt">swcigs01.igs.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.17.62-swcigs02.igs.psys.txt">swcigs02.igs.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.23.62-swcpoc02.poc.psys.txt">swcpoc02.poc.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.24.30-swcmbi01.mbi.psys.txt">swcmbi01.mbi.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.24.62-swcmbi02.mbi.psys.txt">swcmbi02.mbi.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.25.4-mcmke04.mke.psys.txt">mcmke04.mke.psys</a>;10.32.25.4;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.33.28.30-swccas02.cas.psys.txt">swccas02.cas.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.28.62-swccas01.cas.psys.txt">swccas01.cas.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.29.30-swcenc01.enc.psys.txt">swcenc01.enc.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.35.30-swcsrr01.srr.psys.txt">swcsrr01.srr.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.35.62-swcsrr02.srr.psys.txt">swcsrr02.srr.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.36.126-swcrpo03.rpo.psys.txt">swcrpo03.rpo.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.36.1-mcrpo01.rpo.psys.txt">mcrpo01.rpo.psys</a>;10.32.36.3;n;y;y;n;n;y;--;;
<a href="http://10.98.22.18/fping/10.33.36.94-swcrpo02.rpo.psys.txt">swcrpo02.rpo.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.37.30-swcbru01.bru.psys.txt">swcbru01.bru.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.38.129-swmmke01.mke.psys.txt">swmmke01.mke.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.38.130-swmmke02.mke.psys.txt">swmmke02.mke.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.38.131-swmenc01.enc.psys.txt">swmenc01.enc.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.38.133-swmbseg01.bseg.psys.txt">swmbseg01.bseg.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.38.134-swmbseg02.bseg.psys.txt">swmbseg02.bseg.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.38.135-swmcens01.cens.psys.txt">swmcens01.cens.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.38.136-swmcens02.cens.psys.txt">swmcens02.cens.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.38.137-swmcdl01.cdl.psys.txt">swmcdl01.cdl.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.38.138-swmcdl02.cdl.psys.txt">swmcdl02.cdl.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.39.30-swcsoc01.soc.psys.txt">swcsoc01.soc.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.40.30-swcsts01.sts.psys.txt">swcsts01.sts.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.40.62-swcsts02.sts.psys.txt">swcsts02.sts.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.41.30-swctte01.tte.psys.txt">swctte01.tte.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.41.62-swctte02.tte.psys.txt">swctte02.tte.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.43.30-swcsjc01.sjc.psys.txt">swcsjc01.sjc.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.43.62-swcsjc02.sjc.psys.txt">swcsjc02.sjc.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.53.62-swcvta02.vta.psys.txt">swcvta02.vta.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.56.30-swcfns01.fns.psys.txt">swcfns01.fns.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.56.62-swcfns02.fns.psys.txt">swcfns02.fns.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.57.30-swcjve01.jve.psys.txt">swcjve01.jve.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.58.30-swcbnu02.bnu.psys.txt">swcbnu02.bnu.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.58.35-mcbnu03.bnu.psys.txt">mcbnu03.bnu.psys</a>;10.32.58.5;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.33.58.3-mcbnu03.bnu.psys.txt">mcbnu03.bnu.psys</a>;10.32.58.5;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.33.59.30-swccsc02.csc.psys.txt">swccsc02.csc.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.59.62-swccsc01.csc.psys.txt">swccsc01.csc.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.60.62-swcmga01.mga.psys.txt">swcmga01.mga.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.62.30-swclda01.lda.psys.txt">swclda01.lda.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.63.30-swccsl01.csl.psys.txt">swccsl01.csl.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.63.62-swccsl02.csl.psys.txt">swccsl02.csl.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.65.30-swcula01.ula.psys.txt">swcula01.ula.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.65.34-mcula02.ula.psys.txt">mcula02.ula.psys</a>;10.32.65.2;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.33.65.62-swcula02.ula.psys.txt">swcula02.ula.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.66.129-swmpat01.pat.psys.txt">swmpat01.pat.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.66.130-swmscec01.scec.psys.txt">swmscec01.scec.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.66.131-swmmbi01.mbi.psys.txt">swmmbi01.mbi.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.66.132-swmpoc01.poc.psys.txt">swmpoc01.poc.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.66.133-swmigs01.igs.psys.txt">swmigs01.igs.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.66.134-swmnct01.nct.psys.txt">swmnct01.nct.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.66.161-swmpat02.pat.psys.txt">swmpat02.pat.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.66.163-swmscec02.scec.psys.txt">swmscec02.scec.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.66.164-swmmbi02.mbi.psys.txt">swmmbi02.mbi.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.66.165-swmpoc02.poc.psys.txt">swmpoc02.poc.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.66.166-swmigs01.igs.psys.txt">swmigs02.igs.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.68.30-swcgna01.gna.psys.txt">swcgna01.gna.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.68.62-swcgna02.gna.psys.txt">swcgna02.gna.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.69.62-swccpe02.cpe.psys.txt">swccpe02.cpe.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.70.30-swcmns01.mns.psys.txt">swcmns01.mns.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.76.30-swcblm01.blm.psys.txt">swcblm01.blm.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.76.62-swcblm02.blm.psys.txt">swcblm02.blm.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.85.130-swbnct01.nct.brad.txt">swbnct01.nct.brad</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.33.92.30-swcpaa01.paa.psys.txt">swcpaa01.paa.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.34.17.154-swcigs03.igs.psys.txt">swcigs03.igs.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.34.17.155-swcigs04.igs.psys.txt">swcigs04.igs.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.34.17.182-mcbsa03.bsa.psys.txt">mcbsa03.bsa.psys</a>;10.32.13.4;n;y;y;y;n;y;--;;
<a href="http://10.98.22.18/fping/10.36.0.101-rccauj01.cauj.unib.txt">rccauj01.cauj.unib</a>;10.36.0.101;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.36.0.111-rccauc01.cauc.unib.txt">rccauc01.cauc.unib</a>;10.36.0.111;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.36.0.112-rccauc02.cauc.unib.txt">rccauc02.cauc.unib</a>;10.36.0.112;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.36.0.113-rccauc03.cauc.unib.txt">rccauc03.cauc.unib</a>;10.36.0.113;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.38.96.84-ra051824.pat.unib.txt">ra051824.pat.unib</a>;10.38.96.84;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.52.0.101-rbcauj01.cauj.unib.txt">rbcauj01.cauj.unib</a>;10.52.0.101;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.52.0.103-rbcauj03.cauj.unib.txt">rbcauj03.cauj.unib</a>;10.52.0.103;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.52.0.111-rbcauc01.cauc.unib.txt">rbcauc01.cauc.unib</a>;10.52.0.111;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.52.0.121-rscauj01.cauj.unib.txt">rscauj01.cauj.unib</a>;10.52.0.121;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.52.0.123-rscauj03.cauj.unib.txt">rscauj03.cauj.unib</a>;10.52.0.123;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.52.0.126-rscauj06.cauj.unib.txt">rscauj06.cauj.unib</a>;10.52.0.126;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.52.0.132-rscauc02.cauc.unib.txt">rscauc02.cauc.unib</a>;10.52.0.132;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.52.0.133-rscauc03.cauc.unib.txt">rscauc03.cauc.unib</a>;10.52.0.133;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.65.0.102-rcvta02.vta.unib.txt">rcvta02.vta.unib</a>;10.65.0.102;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.66.0.104-rcrpo04.rpo.unib.txt">rcrpo04.rpo.unib</a>;10.66.0.104;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.67.0.102-rccas02.cas.unib.txt">rccas02.cas.unib</a>;10.67.0.102;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.69.0.101-rcbsa03_pal.bsa.unib.txt">rcbsa03_pal.bsa.unib</a>;10.69.0.101;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.70.0.102-rccta02.cta.unib.txt">rccta02.cta.unib</a>;10.70.0.102;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.70.0.103-rccta03.cta.unib.txt">rccta03.cta.unib</a>;10.70.0.103;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.72.0.101-rcpae01.pae.unib.txt">rcpae01.pae.unib</a>;10.72.0.101;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.72.0.103-rcpae03.pae.unib.txt">rcpae03.pae.unib</a>;10.72.0.103;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.73.0.104-rcgna04.gna.unib.txt">rcgna04.gna.unib</a>;10.73.0.104;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.74.0.105-rcbsa05.bsa.unib.txt">rcbsa05.bsa.unib</a>;10.74.0.105;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.75.0.102-rcsdr02.sdr.unib.txt">rcsdr02.sdr.unib</a>;10.75.0.102;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.75.0.104-rcsdr04.sdr.unib.txt">rcsdr04.sdr.unib</a>;10.75.0.104;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.77.0.103-rcfla03.fla.unib.txt">rcfla03.fla.unib</a>;10.77.0.103;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.99.11.4-swcmbi03.mbi.psys.txt">swcmbi03.mbi.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.99.11.5-swcmbi04.mbi.psys.txt">swcmbi04.mbi.psys</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/172.20.75.196-ricine01.cine.psys.txt">ricine01.cine.psys</a>;172.20.75.196;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/172.20.75.52-ribseg01.bseg.psys.txt">ribseg01.bseg.psys</a>;172.20.75.52;n;n;n;n;n;n;--;;
